state_cluster_id,lag_cluster,id_no,state,id,year,total_distance,medoid_rank1,medoid_rank2,noswitch,switched,n_noswitch,n_switched,flag
1,1,49,West Virginia,WV,2006,1.9571429,8,,1,0,49,2,0
2,1,50,Wisconsin,WI,2006,4.28125,,11,0,1,49,2,0
1,1,51,Wyoming,WY,2006,2.9000003,23,,1,0,49,2,0
1,1,1,Alabama,AL,2007,2.9375,21.5,,1,0,48,3,0
1,1,2,Alaska,AK,2007,1.6875,3,,1,0,48,3,0
1,1,3,Arizona,AZ,2007,3.9375,30,,1,0,48,3,0
1,1,4,Arkansas,AR,2007,4.375,31,,1,0,48,3,0
2,2,5,California,CA,2007,5.1052628,,17,1,0,48,3,0
1,1,6,Colorado,CO,2007,3.5,25.5,,1,0,48,3,0
2,2,7,Connecticut,CT,2007,3.7105265,,5.5,1,0,48,3,0
2,2,8,Delaware,DE,2007,3.6052632,,4,1,0,48,3,0
2,2,9,District of Columbia,DC,2007,4.6052628,,12,1,0,48,3,0
1,1,10,Florida,FL,2007,2.3125,11.5,,1,0,48,3,0
1,1,11,Georgia,GA,2007,3.5625,27,,1,0,48,3,0
2,2,12,Hawaii,HI,2007,4.7631578,,14,1,0,48,3,0
1,1,13,Idaho,ID,2007,2.3125,11.5,,1,0,48,3,0
2,2,14,Illinois,IL,2007,5.7105255,,18,1,0,48,3,0
1,1,15,Indiana,IN,2007,2.3125,11.5,,1,0,48,3,0
1,1,16,Iowa,IA,2007,1.6875,3,,1,0,48,3,0
1,1,17,Kansas,KS,2007,2.375,14.5,,1,0,48,3,0
1,1,18,Kentucky,KY,2007,2.375,14.5,,1,0,48,3,0
1,1,19,Louisiana,LA,2007,3.375,24,,1,0,48,3,0
2,2,20,Maine,ME,2007,4.2894735,,10.5,1,0,48,3,0
2,1,21,Maryland,MD,2007,3.7105265,,5.5,0,1,48,3,0
2,2,22,Massachusetts,MA,2007,5.0263152,,15,1,0,48,3,0
2,1,23,Michigan,MI,2007,4.1842103,,9,0,1,48,3,0
2,2,24,Minnesota,MN,2007,3.5,,3,1,0,48,3,0
1,1,25,Mississippi,MS,2007,2.9375,21.5,,1,0,48,3,0
1,1,26,Missouri,MO,2007,2.1875,8,,1,0,48,3,0
1,1,27,Montana,MT,2007,2.3125,11.5,,1,0,48,3,0
2,2,28,Nebraska,NE,2007,4.7631574,,13,1,0,48,3,0
1,1,29,Nevada,NV,2007,2.1875,8,,1,0,48,3,0
1,1,30,New Hampshire,NH,2007,2.75,16,,1,0,48,3,0
2,2,31,New Jersey,NJ,2007,3.2368422,,1,1,0,48,3,0
1,1,32,New Mexico,NM,2007,6,32,,1,0,48,3,0
2,2,33,New York,NY,2007,3.9210527,,7,1,0,48,3,0
1,1,34,North Carolina,NC,2007,1.9375,6,,1,0,48,3,0
1,1,35,North Dakota,ND,2007,2.9375,21.5,,1,0,48,3,0
1,1,36,Ohio,OH,2007,2.8125,18,,1,0,48,3,0
1,1,37,Oklahoma,OK,2007,3.75,28,,1,0,48,3,0
1,1,38,Oregon,OR,2007,2.8125,18,,1,0,48,3,0
2,2,39,Pennsylvania,PA,2007,3.4473686,,2,1,0,48,3,0
2,2,40,Rhode Island,RI,2007,4.0263157,,8,1,0,48,3,0
1,1,41,South Carolina,SC,2007,1.6875,3,,1,0,48,3,0
1,1,42,South Dakota,SD,2007,1.6875,3,,1,0,48,3,0
1,1,43,Tennessee,TN,2007,1.6875,3,,1,0,48,3,0
2,1,44,Texas,TX,2007,6.5526314,,19,0,1,48,3,0
1,1,45,Utah,UT,2007,3.875,29,,1,0,48,3,0
1,1,46,Vermont,VT,2007,2.8125,18,,1,0,48,3,0
1,1,47,Virginia,VA,2007,3.5,25.5,,1,0,48,3,0
2,2,48,Washington,WA,2007,5.0789475,,16,1,0,48,3,0
1,1,49,West Virginia,WV,2007,2.1875,8,,1,0,48,3,0
2,2,50,Wisconsin,WI,2007,4.2894735,,10.5,1,0,48,3,0
1,1,51,Wyoming,WY,2007,2.9375,21.5,,1,0,48,3,0
1,1,1,Alabama,AL,2008,2.9333332,15,,1,0,49,2,0
1,1,2,Alaska,AK,2008,1.9,2,,1,0,49,2,0
1,1,3,Arizona,AZ,2008,4.5666666,29,,1,0,49,2,0
2,1,4,Arkansas,AR,2008,5.0238094,,13,0,1,49,2,0
2,2,5,California,CA,2008,5.523809,,17,1,0,49,2,0
1,1,6,Colorado,CO,2008,3.4333332,24,,1,0,49,2,0
2,2,7,Connecticut,CT,2008,4.3571429,,5,1,0,49,2,0
2,2,8,Delaware,DE,2008,4.0714288,,3,1,0,49,2,0
2,2,9,District of Columbia,DC,2008,5.0714283,,14,1,0,49,2,0
1,1,10,Florida,FL,2008,2.333333,4,,1,0,49,2,0
1,1,11,Georgia,GA,2008,3.3666666,23,,1,0,49,2,0
2,2,12,Hawaii,HI,2008,4.9285712,,11,1,0,49,2,0
1,1,13,Idaho,ID,2008,2.5666664,10,,1,0,49,2,0
2,2,14,Illinois,IL,2008,5.7857141,,19,1,0,49,2,0
1,1,15,Indiana,IN,2008,2.5666664,10,,1,0,49,2,0
1,1,16,Iowa,IA,2008,1.9,2,,1,0,49,2,0
1,1,17,Kansas,KS,2008,2.5666664,10,,1,0,49,2,0
1,1,18,Kentucky,KY,2008,2.5666664,10,,1,0,49,2,0
2,1,19,Louisiana,LA,2008,4.4523811,,7,0,1,49,2,0
2,2,20,Maine,ME,2008,4.9761901,,12,1,0,49,2,0
2,2,21,Maryland,MD,2008,3.9761908,,2,1,0,49,2,0
2,2,22,Massachusetts,MA,2008,5.9285703,,20,1,0,49,2,0
2,2,23,Michigan,MI,2008,4.1190476,,4,1,0,49,2,0
2,2,24,Minnesota,MN,2008,5.2380948,,15,1,0,49,2,0
1,1,25,Mississippi,MS,2008,3.833333,26,,1,0,49,2,0
1,1,26,Missouri,MO,2008,2.4999998,7,,1,0,49,2,0
1,1,27,Montana,MT,2008,2.5666664,10,,1,0,49,2,0
2,2,28,Nebraska,NE,2008,5.3095236,,16,1,0,49,2,0
1,1,29,Nevada,NV,2008,3.133333,19,,1,0,49,2,0
1,1,30,New Hampshire,NH,2008,2.7666667,13,,1,0,49,2,0
2,2,31,New Jersey,NJ,2008,3.8571432,,1,1,0,49,2,0
1,1,32,New Mexico,NM,2008,6.1999998,30,,1,0,49,2,0
2,2,33,New York,NY,2008,4.5476189,,9,1,0,49,2,0
1,1,34,North Carolina,NC,2008,2.8999999,14,,1,0,49,2,0
1,1,35,North Dakota,ND,2008,3.1666665,20.5,,1,0,49,2,0
1,1,36,Ohio,OH,2008,3.0333331,17,,1,0,49,2,0
1,1,37,Oklahoma,OK,2008,4.1333332,27,,1,0,49,2,0
1,1,38,Oregon,OR,2008,3.0999999,18,,1,0,49,2,0
2,2,39,Pennsylvania,PA,2008,4.6904764,,10,1,0,49,2,0
2,2,40,Rhode Island,RI,2008,4.4761906,,8,1,0,49,2,0
